Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.617486251	-0.239568144	3.124274254	104142.75
0.617509392	-0.254112929	3.131465912	104142.75
0.617532539	-0.247380629	3.128135681	104142.75
0.617555692	-0.262763321	3.135748625	104142.75
0.617578734	-0.258693665	3.133733273	104142.75
0.6176019	-0.263531029	3.136128902	104142.75
0.617625053	-0.27040416	3.13953495	104142.75
0.61764821	-0.26387611	3.136299849	104142.75
0.617671378	-0.281857759	3.145216703	104142.75
0.617694517	-0.284116864	3.146338224	104142.75
0.617717683	-0.271035582	3.139847994	104142.75
0.617740839	-0.28533262	3.1469419	104142.75
0.617764023	-0.28535232	3.146951675	104142.75
0.617787184	-0.292662114	3.150583029	104142.75
0.617810326	-0.29590404	3.1521945	104142.75
0.61783348	-0.312447012	3.160426617	104142.75
0.61785662	-0.291872412	3.150190592	104142.75
0.617879748	-0.298427612	3.153449297	104142.75
0.617902878	-0.289834589	3.149178028	104142.75
0.617926023	-0.290489137	3.149503231	104142.75
0.617949213	-0.27807644	3.143340111	104142.75
0.617972347	-0.281842381	3.145209074	104142.75
0.61799542	-0.295363069	3.151925564	104142.75
0.618018565	-0.285943329	3.147245169	104142.75
0.618041723	-0.283976167	3.146268368	104142.75
0.618064939	-0.295277238	3.151882887	104142.75
0.618088085	-0.304930091	3.15668416	104142.75
0.618111233	-0.319915086	3.164147854	104142.75
0.618134395	-0.327231675	3.167796612	104142.75
0.618157544	-0.320637256	3.164507866	104142.75
0.618180675	-0.326686859	3.167524815	104142.75
0.618203813	-0.323000878	3.165686369	104142.75
0.618227006	-0.321074843	3.164726019	104142.75
