Day fraction since midnight on ,photom conc (mg/L),photom (volts),Source pressure (Pa)
0.596374983,-1.005126953,3.519106388,104142.75
0.596398116,-1.004189253,3.518601894,104142.75
0.596421332,-0.997809589,3.515170813,104142.75
0.596444474,-1.006094575,3.519627094,104142.75
0.59646764,-1.007982254,3.520642996,104142.75
0.596490789,-1.007415295,3.52033782,104142.75
0.59651394,-1.009757876,3.521598816,104142.75
0.596537099,-1.010863304,3.522193909,104142.75
0.596560238,-1.010385513,3.521936655,104142.75
0.596583334,-1.008707762,3.521033526,104142.75
0.596606475,-1.010494828,3.521995544,104142.75
