Day fraction since midnight on 	Photometer Conc (mg/L)
0.636181447	8.327395439
0.636239313	8.347702026
0.636297174	8.353066444
0.636355042	8.370268822
0.636412921	8.375144959
0.636470792	8.392456055
0.636528659	8.394266129
0.636586511	8.41126442
0.636644394	8.419942856
0.636702257	8.443250656
0.636760121	8.441993713
0.636817993	8.460588455
0.636875868	8.467554092
0.636933736	8.490247726
0.636991599	8.49340725
0.637049463	8.506690025
0.637107331	8.514276505
0.637165208	8.533524513
0.637223078	8.538269043
0.637280949	8.549657822
0.637338809	8.555878639
0.637396679	8.577736855
0.637454649	8.578343391
0.637512422	8.592844009
0.637570387	8.595074654
0.63762815	8.615747452
0.637686131	8.622712135
0.637743993	8.638998985
0.637801866	8.641017914
0.63785973	8.656152725
0.637917614	8.660603523
0.637975478	8.680808067
0.638033346	8.686813355
0.638091206	8.703519821
0.638149084	8.70539093
0.638206956	8.723014832
0.638264825	8.732098579
0.638322684	8.751793861
0.638380563	8.756253243
